9,652,6,3494,17,5,143,73,35,143.32
13,445,672,4509,5,9,97,46,50,99.75
8,159,9,4484,3,5,111,20,42,48.51
4,394,971,1342,5,4,74,30,50,73.50
42,172,608,412,11,7,74,45,85,258.82
11,637,680,2257,12,6,112,60,14,44.10
29,321,38,4439,17,10,55,67,19,87.78
11,882,428,4231,5,5,147,50,38,59.85
7,323,522,2421,2,7,116,22,89,102.80
24,622,531,2601,7,3,91,33,62,110.67
17,607,513,1472,5,5,98,33,19,29.92
14,311,11,4088,16,3,58,47,14,51.45
14,346,566,4056,4,3,154,23,32,36.96
23,377,1,2502,8,2,151,33,50,94.50
42,385,664,391,15,10,62,83,89,373.80
32,401,298,3994,10,10,75,66,89,280.35
42,504,83,933,3,9,57,40,42,66.15
16,133,467,2231,16,6,77,55,14,55.86
31,814,252,2084,10,3,33,65,14,33.81
17,666,696,1413,20,3,96,76,14,63.21
35,86,553,4213,22,5,91,67,32,164.64
33,915,367,3140,12,5,49,85,92,280.14
21,310,174,752,23,6,139,72,48,262.08
13,872,445,1047,8,1,43,45,14,24.99
12,636,520,598,2,5,80,23,48,45.36
39,3,511,1590,24,2,84,65,62,325.50
16,83,156,1138,8,9,46,42,62,162.75
5,43,617,3682,11,8,159,47,62,195.30
21,489,592,2875,18,3,90,70,14,57.33
16,932,233,20,11,3,55,70,40,105.00
28,826,224,3530,10,3,96,65,32,77.28
22,764,652,1181,10,2,57,60,14,32.34
22,773,513,1601,11,4,160,75,32,87.36
30,799,7,1950,11,5,59,80,32,90.72
11,798,1000,3761,11,5,149,80,29,82.22
9,642,518,3184,12,5,61,56,55,167.47
28,337,555,3418,9,2,47,36,42,88.20
20,955,135,909,5,2,35,35,62,78.12
18,509,246,4278,14,3,125,56,85,276.68
17,6,319,2644,30,3,147,82,35,231.52
19,589,894,2741,20,10,150,100,29,152.25
3,545,987,3736,14,1,50,50,14,42.63
31,495,249,2001,1,4,80,16,14,8.82
27,280,224,288,28,6,33,85,85,553.35
41,728,235,66,12,4,145,80,53,155.82
30,432,530,1119,2,8,108,33,55,69.30
36,85,897,2698,19,4,35,57,14,61.74
34,607,999,3461,13,10,76,76,14,52.92
23,675,648,4202,11,1,139,40,38,91.77
15,809,564,3755,4,1,116,25,89,84.11
30,95,678,3218,1,9,129,25,48,55.44
7,924,477,1745,6,5,57,55,62,110.67
38,910,502,3964,1,3,38,20,48,25.20
42,892,489,650,6,5,158,55,53,94.60
10,900,143,416,14,5,37,95,42,145.53
19,190,91,1342,10,6,137,40,48,131.04
16,703,70,2016,12,3,128,75,14,39.69
29,616,1,4127,14,2,60,53,53,166.95
8,365,214,2229,6,6,148,40,40,75.60
32,390,871,3460,15,8,49,76,62,247.38
5,281,150,4335,19,3,136,55,55,236.77
42,246,700,2583,12,6,156,45,14,44.10
20,913,106,4368,15,5,90,100,53,194.78
18,532,147,385,9,8,73,56,40,109.20
19,730,144,1904,3,3,74,30,40,37.80
25,301,178,2196,9,8,73,42,35,95.55
11,225,404,4161,10,4,35,35,89,224.28
41,647,613,2183,11,8,139,63,29,91.35
14,91,51,4555,2,2,109,10,40,25.20
2,558,467,1917,13,2,80,50,40,117.60
21,236,522,3408,25,6,124,77,29,170.52
4,23,799,4998,14,2,48,40,48,151.20
29,195,702,2665,4,3,92,17,85,98.17
17,352,591,82,4,10,55,46,62,117.18
6,675,941,526,4,8,52,40,14,23.52
40,509,296,3284,8,2,130,33,32,60.48
39,435,995,1617,17,8,125,83,50,220.50
6,740,478,2268,2,3,85,25,14,10.29
32,62,741,4474,21,4,79,62,40,193.20
29,441,832,4275,11,8,120,63,14,44.10
8,922,425,3947,5,1,140,30,42,48.51
20,873,121,2362,8,4,98,60,55,115.50
4,404,603,4757,3,6,96,30,70,88.20
19,178,430,1282,2,6,115,20,89,93.45
